COUNTRY/LOCATION|PEOPLE|POUNDS|KILOGRAMS|MILES|KILOMETERS|TOTAL|ITEMS|COLLECTED|CIGARETTE-BUTTS|PLASTIC-BEVERAGE-BOTTLES|PLASTIC-BOTTLE-CAPS|FOOD-WRAPPERS(CANDYETC.)|PLASTIC-GROCERY-BAGS|PLASTIC-LIDS|STRAWSSTIRRERS|GLASS-BEVERAGE-BOTTLES|OTHER-PLASTIC-BAGS|FOAM-TAKE-AWAY-CONTAINERS
MALAYSIA|198|761|345|7.8|12.5|6788|582|565|274|606|648|226|247|98|458|111
MALDIVES|187|1496|679|4.9|7.9|12|–|–|–|3|–|–|–|–|–|–
MALTA|39|825|374|7.5|12.0|297|21|43|16|4|24|–|2|41|10|–
MARSHALL ISLANDS|43|794|360|0.5|0.8|8728|–|5289|–|–|360|53|–|–|–|–
MAURITIUS|156|1631|740|2.6|4.3|8703|1432|739|392|669|118|51|64|101|435|124|
MEXICO|20588|131396|59600|127.3|205.0|898234|77073|535206|26587|16766|11857|19477|11776|14064|9189|5725
MONTSERRAT|20|255|116|1.3|2.0|1266|–|96|1|179|129|–|3|16|2|–
MOROCCO|46|110|50|0.5|0.8|353|114|–|12|6|–|–|3|–|87|7
MOZAMBIQUE|60|4348|1972|9.5|15.3|10761|122|509|1811|185|72|635|45|343|148|36
NAMIBIA|50|220|100|1.6|2.5|592|–|122|41|140|30|16|4|22|8|2
NETHERLANDS|2333|42909|19463|136.8|220.1|10055|–|2|10004|–|14|–|2|1|4|–
NEW ZEALAND|37|292|132|5.7|9.2|1130|70|101|26|78|53|23|40|110|–|5
NICARAGUA|1078|33321|15114|14.7|23.7|85214|2710|10541|5842|4087|10500|3093|2595|626|9793|1124
NORTHERN MARIANA ISLANDS|1035|5481|2486|79.4|127.8|38772|10911|2235|1843|2656|950|432|790|711|918|486
NORWAY|42|297|135|49.4|79.6|327|–|18|3|–|10|–|–|–|–|–
PAKISTAN|6|51|23|0.5|0.8|78|–|3|–|20|12|–|–|–|25|–
PALAU|15|102|46|1.0|2.0|574|8|121|21|13|11|5|33|6|–|19
PANAMA|313|15304|6942|1.7|2.7|5839|114|1098|293|91|566|533|24|567|69|47
PARAGUAY|93|772|350|2.8|4.5|5436|359|729|66|624|298|208|135|665|421|39
PERU|10370|464801|210830|25.2|40.6|292400|5753|8798|11211|8531|4499|1083|1414|7140|7255|1467
PHILIPPINES*|1130|8342|3784|15.3|24.7|14383|2460|1495|428|2149|752|41|180|1075|1091|89
POLAND|23|569|258|1.1|1.8|2555|172|229|93|255|147|32|20|284|93|19
PORTUGAL|107|489|222|1.2|1.9|5661|1200|498|87|100|161|59|64|382|161|45
PUERTO RICO|17943|127573|57866|253.6|408.1|597940|87555|39118|37124|18861|10732|33135|46700|26707|11868|4952
QATAR|15|156|71|0.5|0.8|354|7|56|4|2|54|11|45|3|18|–
ROMANIA|50|300|136|1.0|1.6|4685|2000|250|500|1000|100|–|250|50|–|–
RUSSIA|104|175|79|1.7|2.7|650|164|16|–|70|7|–|44|81|7|6
SABA|82|88|40|1.8|2.8|899|186|29|59|5|43|53|16|54|19|1
SAINT KITTS AND NEVIS|262|1066|484|4.0|6.4|6718|27|2520|866|46|35|298|125|124|183|192
SAINT LUCIA|2|2|1|0.5|0.8|27|–|2|–|–|–|–|–|–|–|–
SAINT VINCENT AND THE GRENADINES|137|4400|1996|2.5|4.0|9739|107|2491|304|194|408|96|95|724|406|337
SAMOA|43|4801|2178|1.1|1.8|5971|87|285|45|465|309|108|14|100|529|58
SÃO TOMÉ AND PRÍNCIPE|1|2|1|0.5|0.8|1|–|1|–|–|–|–|–|–|–|–
SAUDI ARABIA|5|33|15|0.5|0.8|84|–|25|–|–|–|–|–|20|–|–
SEYCHELLES|6|4|2|1.0|1.6|8|–|2|–|–|–|–|–|–|–|–
SINGAPORE|3179|28159|12773|11.6|18.6|149892|15647|26078|4781|7662|4241|1335|8755|1274|6360|1375
SINT EUSTATIUS|8|100|46|0.5|0.8|1351|2|167|297|262|8|107|26|7|7|24
SINT MAARTEN|314|2610|1184|2.0|3.2|4509|72|1180|82|56|331|29|106|963|297|5
SLOVENIA|122|293|133|4.3|6.9|12003|6991|182|227|562|120|–|78|36|275|–
SOUTH AFRICA|3262|16126|7315|75.1|121.0|110235|9192|5526|7812|8285|1877|1091|3305|2594|3269|1169
SOUTH KOREA|1536|3753|1702|15.2|24.5|44961|16723|1726|1351|3392|2535|492|776|905|2666|323
SPAIN|859|6395|2901|7.1|7.1|2699|732|5|182|15|5|11|10|15|2|–
SRI LANKA|6735|39645|17983|47.2|76.1|241924|6337|23090|11014|18676|23217|5834|13144|9982|10159|6467
SURINAME|5|11|5|0.5|0.8|128|8|25|9|5|20|–|–|7|–|1
SWEDEN|1263|32535|14758|18.1|28.7|843|368|21|11|26|11|4|20|31|7|3
TAIWAN|12026|56882|25801|24.8|40.0|146696|7744|26980|18751|5000|12806|–|16557|8637|154|51
TANZANIA|299|4751|2155|0.8|1.3|55486|180|936|8029|19080|5040|196|1440|1744|8618|–
THAILAND|3641|27567|12504|64.8|104.2|57811|359|7198|1703|2940|1566|427|6083|5024|704|593
THE BAHAMAS|790|4583|2079|35.6|57.3|15969|295|1202|989|490|254|262|656|1023|366|366
TIMOR-LESTE|2|2|1|0.5|0.8|5|–|1|–|–|–|–|–|–|–|–
TRINIDAD AND TOBAGO|465|4029|1827|7.9|12.7|20776|484|4459|1922|885|323|317|390|2000|717|553
TURKEY|1079|7258|3292|5.6|9.0|31965|17084|3866|1247|1608|257|–|–|490|35|100
U.S. VIRGIN ISLANDS|819|6945|3150|19.9|32.0|48369|2890|3617|3806|3017|941|1102|2540|3732|1238|375
UNITED ARAB EMIRATES|934|5441|2468|4.4|7.1|10496|2998|467|747|390|300|361|404|311|199|159
UNITED KINGDOM 5993|19358|8781|68.6|111.4|186850|18564|6375|14918|19907|3332|660|3165|2646|2182|650
UNITED STATES|183321|3124644|1417315|8672.3|13955.9|4282989|1030640|205687|276483|314649|85079|76172|125973|105929|71566|42269
URUGUAY|1981|11155|5060|28.6|46.0|29892|1356|2497|2642|2269|1428|2159|596|404|1946|602
VANUATU|187|1674|759|12.9|20.7|12128|86|907|444|1306|577|359|171|302|1247|406
VENEZUELA|7150|115981|52608|107.0|172.1|387738|32684|29733|24526|17736|14398|28879|13428|20907|14093|5566
VIETNAM|1181|6465|2932|4.8|7.7|32135|1436|705|553|808|3297|549|702|333|1582|1372
*LOCATION NOT RECORDED|5264|56850|25786|199.8|324.8|269019|45300|14383|15699|29294|11954|6512|13927|8494|2820|7822|
